arrival_date,date_id,year,month,day,quarter
2015-07-01,1,2015,7,1,3
2015-07-02,2,2015,7,2,3
2015-07-03,3,2015,7,3,3
2015-07-04,4,2015,7,4,3
2015-07-05,5,2015,7,5,3
2015-07-06,6,2015,7,6,3
2015-07-07,7,2015,7,7,3
2015-07-08,8,2015,7,8,3
2015-07-09,9,2015,7,9,3
2015-07-10,10,2015,7,10,3
2015-07-11,11,2015,7,11,3
2015-07-12,12,2015,7,12,3
2015-07-13,13,2015,7,13,3
2015-07-14,14,2015,7,14,3
2015-07-15,15,2015,7,15,3
2015-07-16,16,2015,7,16,3
2015-07-17,17,2015,7,17,3
2015-07-18,18,2015,7,18,3
2015-07-19,19,2015,7,19,3
2015-07-20,20,2015,7,20,3
2015-07-21,21,2015,7,21,3
2015-07-22,22,2015,7,22,3
2015-07-23,23,2015,7,23,3
2015-07-24,24,2015,7,24,3
2015-07-25,25,2015,7,25,3
2015-07-26,26,2015,7,26,3
2015-07-27,27,2015,7,27,3
2015-07-28,28,2015,7,28,3
2015-07-29,29,2015,7,29,3
2015-07-30,30,2015,7,30,3
2015-07-31,31,2015,7,31,3
2015-08-01,32,2015,8,1,3
2015-08-02,33,2015,8,2,3
2015-08-03,34,2015,8,3,3
2015-08-04,35,2015,8,4,3
2015-08-05,36,2015,8,5,3
2015-08-06,37,2015,8,6,3
2015-08-07,38,2015,8,7,3
2015-08-08,39,2015,8,8,3
2015-08-09,40,2015,8,9,3
2015-08-10,41,2015,8,10,3
2015-08-11,42,2015,8,11,3
2015-08-12,43,2015,8,12,3
2015-08-13,44,2015,8,13,3
2015-08-14,45,2015,8,14,3
2015-08-15,46,2015,8,15,3
2015-08-16,47,2015,8,16,3
2015-08-17,48,2015,8,17,3
2015-08-18,49,2015,8,18,3
2015-08-19,50,2015,8,19,3
2015-08-20,51,2015,8,20,3
2015-08-21,52,2015,8,21,3
2015-08-22,53,2015,8,22,3
2015-08-23,54,2015,8,23,3
2015-08-24,55,2015,8,24,3
2015-08-25,56,2015,8,25,3
2015-08-26,57,2015,8,26,3
2015-08-27,58,2015,8,27,3
2015-08-28,59,2015,8,28,3
2015-08-29,60,2015,8,29,3
2015-08-30,61,2015,8,30,3
2015-08-31,62,2015,8,31,3
2015-09-01,63,2015,9,1,3
2015-09-02,64,2015,9,2,3
2015-09-03,65,2015,9,3,3
2015-09-04,66,2015,9,4,3
2015-09-05,67,2015,9,5,3
2015-09-06,68,2015,9,6,3
2015-09-07,69,2015,9,7,3
2015-09-08,70,2015,9,8,3
2015-09-09,71,2015,9,9,3
2015-09-10,72,2015,9,10,3
2015-09-11,73,2015,9,11,3
2015-09-12,74,2015,9,12,3
2015-09-13,75,2015,9,13,3
2015-09-14,76,2015,9,14,3
2015-09-15,77,2015,9,15,3
2015-09-16,78,2015,9,16,3
2015-09-17,79,2015,9,17,3
2015-09-18,80,2015,9,18,3
2015-09-19,81,2015,9,19,3
2015-09-20,82,2015,9,20,3
2015-09-21,83,2015,9,21,3
2015-09-22,84,2015,9,22,3
2015-09-23,85,2015,9,23,3
2015-09-24,86,2015,9,24,3
