reserved_room_type,assigned_room_type,room_id
C,C,1
A,C,2
A,A,3
D,D,4
E,E,5
D,E,6
G,G,7
A,E,8
A,G,9
F,F,10
D,I,11
A,B,12
E,F,13
H,H,14
A,D,15
G,H,16
H,G,17
D,C,18
E,G,19
A,H,20
E,H,21
D,F,22
A,F,23
F,E,24
L,H,25
L,C,26
A,I,27
C,I,28
D,G,29
E,I,30
C,F,31
L,F,32
G,C,33
D,A,34
G,I,35
F,G,36
C,H,37
G,F,38
C,G,39
E,D,40
E,A,41
F,I,42
P,P,43
F,D,44
F,H,45
F,A,46
C,A,47
L,L,48
C,E,49
L,A,50
B,B,51
L,B,52
C,D,53
D,H,54
H,D,55
H,I,56
C,B,57
E,C,58
G,E,59
B,D,60
A,K,61
B,E,62
F,B,63
E,K,64
B,G,65
B,A,66
B,K,67
G,A,68
D,K,69
D,B,70
E,B,71
B,F,72
G,B,73
F,K,74
G,K,75
